clean_text,label
decades after their all valley karate tournament bout a middleaged daniel larusso and johnny lawrence find themselves martialarts rivals again,high
follows the political rivalries and romance of queen elizabeth iis reign and the events that shaped the second half of the twentieth century,high
the trials and tribulations of criminal lawyer jimmy mcgill before his fateful runin with walter white and jesse pinkman,high
when a psychiatrist shelters a mysterious cult escapee her world is turned upside down as the girls arrival threatens to tear her own family apart,low
a street kid trying to survive in a technology and body modificationobsessed city of the future having everything to lose he chooses to stay alive by becoming an edgerunner a mercenary outlaw also known as a cyberpunk,high
upon escaping after decades of imprisonment by a mortal wizard dream the personification of dreams sets about to reclaim his lost equipment,medium
an animated series that follows the exploits of a super scientist and his notsobright grandson,high
a high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his familys future,high
after an experimental gene therapy turns them into monsters three twentysomethings band together to hunt down the scientist responsible and force him to make them human again,medium
a fictionalized chronicle of the inner life of marilyn monroe,medium
when a young boy disappears his mother a police chief and his friends must confront terrifying supernatural forces in order to get him back,high
in this highoctane action thriller a crosscountry road trip becomes a highway to hell for brenda and her family alone in the new mexico desert they have to fight for their lives when they become the targets of a mysterious killer,low
sheriff deputy rick grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive,high
famed southern detective benoit blanc travels to greece for his latest case,high
drea and eleanor agree to go after one anothers bullies,medium
follows a young graffiti artist who discovers a shocking secret that would put him and the ones closest to him in danger,medium
roxana aubrey decides to drop her studies and escape her life in paris for a free diving course in the south of france she is quickly pulled into a life that reaches new depths brought by the weight of an oceans descent,low
multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea,high
a gangster family epic set in s england centering on a gang who sew razor blades in the peaks of their caps and their fierce boss tommy shelby,high
a liveaction adaptation of nickelodeons winx club it follows bloom as she adjusts to life in the otherworld where she must learn to control her dangerous magical powers,medium
a meek hobbit from the shire and eight companions set out on a journey to destroy the powerful one ring and save middleearth from the dark lord sauron,high
a drama centered on the personal and professional lives of five surgical interns and their supervisors,medium
two brothers follow their fathers footsteps as hunters fighting evil supernatural beings of many kinds including monsters demons and gods that roam the earth,high
an anthology series centering on different characters and locations including a house with a murderous past an insane asylum a witch coven a freak show circus a haunted hotel a possessed farmhouse a cult the apocalypse a slasher summer camp and a bleak beach town and desert valley,high
a civilian businessman who has no choice but to cooperate with the secret operation of the national intelligence service to arrest the korean drug lord who has taken control of suriname in south america,medium
the cases of the naval criminal investigative services washington dc major case response team led by special agent leroy jethro gibbs,medium
follows the personal and professional lives of six twenty to thirtysomethingyearold friends living in manhattan,high
a scrappy feisty fiercely loyal chicago family makes no apologies,high
three different but related families face trials and tribulations in their own uniquely comedic ways,high
a financial advisor drags his family from chicago to the missouri ozarks where he must launder money to appease a drug boss,high
leni and gina are identical twins who have secretly swapped their lives since they were children culminating in a double life as adults but one of the sisters goes missing and everything in their perfectly schemed world turns into chaos,low
when the cias most skilled operativewhose true identity is known to noneaccidentally uncovers dark agency secrets a psychopathic former colleague puts a bounty on his head setting off a global manhunt by international assassins,medium
follows a dad who finds time for himself for the first time in years while his wife and kids are away he reconnects with a friend for a wild weekend,low
on the run from a drug deal gone bad brilliant college dropout mike ross finds himself working with harvey specter one of new york citys best lawyers,high
vikings transports us to the brutal and mysterious world of ragnar lothbrok a viking warrior and farmer who yearns to exploreand raidthe distant shores across the ocean,high
geralt of rivia a solitary monster hunter struggles to find his place in a world where people often prove more wicked than beasts,high
a new fbi profiler elizabeth keen has her entire life uprooted when a mysterious criminal raymond reddington who has eluded capture for decades turns himself in and insists on speaking only to her,high
the continuing misadventures of neurotic new york city standup comedian jerry seinfeld and his equally neurotic new york city friends,high
lucifer morningstar has decided hes had enough of being the dutiful servant in hell and decides to spend some time on earth to better understand humanity he settles in los angeles the city of angels,high
a family of former child heroes now grown apart must reunite to continue to protect the world,medium
